Feature,Mean,Std,Min,Max
documents_returned_x,2902.8524590163934,22558.47703730272,1.0,250000.0
documents_returned_y,2902.8524590163934,22558.47703730272,1.0,250000.0
exec_time_no_index,66.1311475409836,37.33120707682465,6.0,225.0
diff_ms,0.819672131147541,26.338551198394654,-95.0,207.0
pct_impr,-4.096300852423604,27.707906806610275,-171.42857142857142,92.0
