group,n,mean_before,mean_after,mean_diff,cohen_d,t_stat,p_t,wilcoxon,p_w,ci_low,ci_high,n_required_80p
index,122,66.1311475409836,65.31147540983606,0.819672131147541,0.03112062333927845,0.3437385198622342,0.7316395227897426,2972.5,0.4765182521046005,-3.426434426229508,5.697131147540978,8106.118814232468
shards,122,56.057377049180324,66.1311475409836,-10.073770491803279,-0.21367650215679163,-2.360134107211556,0.01986804465073332,349.0,1.2964613955965168e-17,-16.131147540983605,-0.5489754098360686,173.8373176800469
