,count,mean,std,min,25%,50%,75%,max,median,n_null,n_unique
documents_returned_sh,122.0,2902.8524590163934,22558.47703730272,1.0,1000.0,1000.0,1000.0,250000.0,1000.0,0,7
exec_time_shards,122.0,66.1311475409836,37.33120707682465,6.0,40.25,81.0,85.75,225.0,81.0,0,53
documents_returned_nsh,122.0,2902.8524590163934,22558.47703730272,1.0,1000.0,1000.0,1000.0,250000.0,1000.0,0,7
exec_time_no_shards,122.0,56.057377049180324,64.65640901040764,3.0,30.25,64.0,69.75,706.0,64.0,0,49
time_saved_ms,122.0,-10.073770491803279,47.14496161309933,-79.0,-17.0,-11.5,-5.0,481.0,-11.5,0,41
pct_improvement,122.0,-28.93430205353606,23.553146925805667,-133.33333333333331,-34.11458333333333,-25.565355042966985,-18.256059009483668,68.13031161473087,-25.565355042966985,0,90
