,count,mean,std,min,25%,50%,75%,max,median,n_null,n_unique
documents_returned_idx,122.0,2902.8524590163934,22558.47703730272,1.0,1000.0,1000.0,1000.0,250000.0,1000.0,0,7
exec_time_index,122.0,65.31147540983606,33.91020762655767,6.0,39.0,83.0,87.0,161.0,83.0,0,51
documents_returned_no,122.0,2902.8524590163934,22558.47703730272,1.0,1000.0,1000.0,1000.0,250000.0,1000.0,0,7
exec_time_no_index,122.0,66.1311475409836,37.33120707682465,6.0,40.25,81.0,85.75,225.0,81.0,0,53
time_saved_ms,122.0,0.819672131147541,26.338551198394654,-95.0,-4.0,0.0,2.75,207.0,0.0,0,44
pct_improvement,122.0,-4.096300852423604,27.707906806610275,-171.42857142857142,-8.400735294117647,0.0,6.488095238095238,92.0,0.0,0,93
